match_id,defender_id,defender_name,passes_against_on_field
3829,428,Ismaïla Sarr,335
3829,7988,Boulaye Dia,425
3829,9993,Kalidou Koulibaly,425
3824,1168,Nouhou Tolo,518
3824,12640,Martin Hongla,392
3824,12960,Ricardo Rodriguez,486
3824,13118,Eray Comert,15
3824,13872,Collins Fai,518
3824,13874,Samuel Oum Gouet,518
3824,13875,Vincent Aboubakar,114
3824,13880,Fabian Frei,127
3824,157,Granit Xhaka,501
3824,1977,André Zambo Anguissa,518
3824,3934,Karl Toko Ekambi,404
3824,4174,Jean-Charles Castelletto,518
3824,4566,Rubén Vargas,432
3824,4626,Eric Maxim Choupo-Moting,404
3824,4661,Manuel Akanji,501
3824,4691,Yann Sommer,501
3824,4695,Nico Elvedi,501
3824,4717,Breel Embolo,374
3824,4732,Djibril Sow,374
3824,5029,Silvan Widmer,501
3824,5074,Bryan Mbeumo,425
3824,57,Xherdan Shaqiri,374
3824,6655,Nicolas N'Koulou,518
3824,8011,Haris Seferovic,127
3824,8018,Andre Onana,518
3824,8113,Noah Okafor,127
3824,8328,Remo Freuler,501
3824,8397,Fabian Rieder,69
3824,8402,Nicolas Ngamaleu,93
3824,8631,Georges-Kevin N'Koudou,114
3824,8741,Gael Ondoua,126
3856,11843,Issahaku Fatawu,8
3856,1363,Inaki Williams,350
3856,1368,Jose Gimenez,458
3856,1380,Thomas Partey,450
3856,13924,Sergio Rochet,458
3856,13927,Guillermo Varela,458
3856,13928,Agustin Canobbio,65
3856,13929,Nicolas De La Cruz,148
3856,13930,Giorgian De Arrascaeta,393
3856,14034,Lawrence Ati Zigi,450
3856,14040,Andre Ayew,244
3856,1535,Luis Suarez,310
3856,1545,Mathí­as Olivera,458
3856,1684,Federico Valverde,458
3856,1836,Maxi Gomez,65
3856,1910,Mohammed Salisu,450
3856,2075,Facundo Pellistri,310
3856,2077,Edinson Cavani,148
3856,213,Daniel Amartey,450
3856,4020,Kamaldeen Sulemana,206
3856,4404,Alidu Seidu,450
3856,4408,Salis Abdul Samed,350
3856,483,Jordan Ayew,244
3856,5085,Abdul Rahman Baba,450
3856,5178,Osman Bukari,206
3856,7192,Antoine Semenyo,100
3856,7584,Rodrigo Bentancur,107
3856,8009,Darwin Nunez,393
3856,8031,Mohammed Kudus,442
3856,8071,Sebastian Coates,458
3856,8133,Matias Vecino,351
3856,9980,Daniel-Kofi Kyereh,100
3858,12561,Sergej Milinković-Savić,295
3858,12576,Nikola Milenkovic,419
3858,12653,Vanja Milinković-Savić,419
3858,12664,Saša Lukić,419
3858,12776,Filip Djuricic,83
3858,12960,Ricardo Rodriguez,485
3858,13906,Andrija Zivkovic,336
3858,1550,Nemanja Maksimovic,124
3858,157,Granit Xhaka,485
3858,1702,Luka Jovic,174
3858,1799,Nemanja Gudelj,174
3858,1991,Aleksandar Mitrovic,419
3858,320,Fabian Schär,485
3858,3880,Strahinja Pavlovic,419
3858,3989,Nemanja Radonjic,83
3858,4566,Rubén Vargas,405
3858,4656,Gregor Kobel,485
3858,4661,Manuel Akanji,485
3858,4703,Denis Zakaria,165
3858,4717,Breel Embolo,473
3858,4732,Djibril Sow,320
3858,4734,Filip Kostic,419
3858,5029,Silvan Widmer,485
3858,5035,Edimilson Fernandes,165
3858,57,Xherdan Shaqiri,320
3858,8037,Dusan Tadić,336
3858,8059,Dušan Vlahović,245
3858,8113,Noah Okafor,12
3858,8328,Remo Freuler,485
3858,8400,Christian Fassnacht,80
3858,9947,Milos Veljkovic,245
3855,13371,Bryan Oviedo,688
3855,13563,Jewison Bennette,133
3855,13779,Juan Pablo Vargas,731
3855,13780,Keysher Fuller,598
3855,13781,Celso Borges,731
3855,13782,Anthony Contreras,43
3855,13784,Johan Venegas,598
3855,13787,Youstin Salas,326
3855,13788,Yeltsin Tejeda,688
3855,13790,Brandon Aguilera,405
3855,13791,Roan Wilson,43
3855,1593,Óscar Duarte,731
3855,1937,Kai Havertz,107
3855,20,Ilkay Gündogan,206
3855,26,Leroy Sané,346
3855,3316,Joel Campbell,731
3855,3841,Keylor Navas,731
3855,4602,Manuel Neuer,346
3855,4608,Niklas Süle,295
3855,4616,Joshua Kimmich,346
3855,4618,Leon Goretzka,168
3855,4621,Jamal Musiala,346
3855,4623,Serge Gnabry,346
3855,4624,Thomas Müller,239
3855,4694,Matthias Ginter,51
3855,4868,David Raum,239
3855,4897,Lukas Klostermann,178
3855,754,Kendall Waston,731
3855,90,Antonio Rüdiger,346
3855,975,Ronald Matarrita,133
3855,9918,Mario Götze,107
3855,9963,Niclas Fullkrug,140
3854,10704,Kaoru Mitoma,495
3854,11841,Hidemasa Morita,1060
3854,13178,Nico Williams,162
3854,1341,Unai Simon,228
3854,13797,Shogo Taniguchi,1060
3854,13798,Yuto Nagatomo,565
3854,13799,Shuichi Gonda,1060
3854,13802,Daizen Maeda,649
3854,1394,Alvaro Morata,162
3854,1513,Jordi Alba,35
3854,1519,Sergio Busquets,228
3854,1529,Ansu Fati,35
3854,1530,Pedri,228
3854,1682,Daniel Carvajal,104
3854,1696,Marco Asensio,66
3854,18,Rodri,228
3854,1841,Pau Torres,228
3854,1860,Takefusa Kubo,565
3854,1950,Ferran Torres,66
3854,2087,Takehiro Tomiyasu,360
3854,2088,Maya Yoshida,1060
3854,2094,Junya Ito,1060
3854,2095,Daichi Kamada,700
3854,2099,Takuma Asano,411
3854,4908,Dani Olmo,228
3854,4928,Wataru Endo,117
3854,5098,Ko Itakura,1060
3854,8341,Gavi,193
3854,8344,Alex Balde,193
3854,8927,Ao Tanaka,943
3854,96,César Azpilicueta,124
3854,9981,Ritsu Doan,495
3853,1025,Kamal Miller,394
3853,11790,Steven Vitoria,394
3853,1225,Richie Laryea,71
3853,1228,Jonathan Osorio,323
3853,12315,Sam Adekugbe,306
3853,12586,Sofyan Amrabat,535
3853,12777,Abdelhamid Sabiri,380
